obs,k,m,n,reference_pool,physical_rqmc,quotient_self_normalized,floor,paired_ratio
0,2,100,1024,0,0.06437732760086656,0.06770322370884196,0.06324652492823081,0.9508753656653274
0,2,100,1024,1,0.06487805808000267,0.06672890038975347,0.06324652492823081,0.972263257764772
0,2,100,4096,0,0.06669440482603385,0.06512469827408765,0.06324652492823081,1.0241030913546785
0,2,100,4096,1,0.06565069786682726,0.06485021598207535,0.06324652492823081,1.0123435500195275
0,2,100,16384,0,0.06292032639682292,0.061425516528707896,0.06324652492823081,1.0243353243503683
0,2,100,16384,1,0.06280035332702102,0.06156125946880718,0.06324652492823081,1.020127818516151
0,2,100,65536,0,0.06695576003715399,0.0627246101622376,0.06324652492823081,1.067455977230827
0,2,100,65536,1,0.06497589029390366,0.06663261994168108,0.06324652492823081,0.9751363573993121
0,2,100,262144,0,0.060719638012815255,0.06331738589871982,0.06324652492823081,0.9589725973517
0,2,100,262144,1,0.0591044404012151,0.0657729326634679,0.06324652492823081,0.8986134266450815
0,2,100,1048576,0,0.06495764583023265,0.06499833690076737,0.06324652492823081,0.9993739675124791
0,2,100,1048576,1,0.06772239871453495,0.06574747354226526,0.06324652492823081,1.030038038967385
0,2,100,4194304,0,0.06154419092163444,0.06090750692427453,0.06324652492823081,1.0104532926975895
0,2,100,4194304,1,0.06269171085897832,0.060476545312487064,0.06324652492823081,1.0366285067218262
0,2,500,1024,0,0.03337208789186553,0.03155480097650825,0.034053967873379595,1.057591455471711
0,2,500,1024,1,0.034027861390076554,0.03227840010755738,0.034053967873379595,1.0541991324442865
0,2,500,4096,0,0.032701096871960905,0.030808700627531188,0.034053967873379595,1.0614240849462713
0,2,500,4096,1,0.03291000796128065,0.030389756854778967,0.034053967873379595,1.0829309401370009
0,2,500,16384,0,0.033133585471846166,0.029471520235879234,0.034053967873379595,1.1242577650103254
0,2,500,16384,1,0.032444597025867536,0.029647266784040276,0.034053967873379595,1.0943537312293867
0,2,500,65536,0,0.030383474124968064,0.034085780131173644,0.034053967873379595,0.8913826823984121
0,2,500,65536,1,0.030676897057704614,0.0313278663077165,0.034053967873379595,0.9792207600856767
0,2,500,262144,0,0.03230030003059654,0.03421696498796568,0.034053967873379595,0.9439849513817711
0,2,500,262144,1,0.03122479788372295,0.03140261589268126,0.034053967873379595,0.9943374778214018
0,2,500,1048576,0,0.03210788010070102,0.030945023755846266,0.034053967873379595,1.0375781370869062
0,2,500,1048576,1,0.030251307280734187,0.030895959580534354,0.034053967873379595,0.9791347377277667
