k,m,reference_pool,n,observations,physical_median,quotient_median,paired_ratio_median,paired_ratio_q25,paired_ratio_q75,paired_ratio_ci_low,paired_ratio_ci_high,quotient_wins,physical_wins,floor_median
2,100,0,1024,192,0.07247698320662602,0.054942734039148844,1.3114884506654647,1.048599021105088,3.496897276612984,1.171990076164838,1.8421181370097848,166,26,0.052572952563595024
2,100,0,4096,192,0.06381299111815171,0.05329640607997653,1.0718744263521056,0.9933917333300855,1.4905680469750364,1.0427706911643115,1.1448757470049018,140,52,0.052572952563595024
2,100,0,16384,192,0.056352802666136986,0.0520666049070445,1.0284663374244287,0.9715295473655059,1.1211509451312722,1.0194433086006558,1.04109952180552,127,65,0.052572952563595024
2,100,0,65536,192,0.052531615769863135,0.05326774018632811,1.00044092220325,0.953985072228849,1.0699166259094743,0.9847657710640229,1.0182952832466694,97,95,0.052572952563595024
2,100,0,262144,192,0.053412806697562334,0.05334606362951713,0.993201013155826,0.9348988629848086,1.0564914238958378,0.9823290275288599,1.0084767865443147,90,102,0.052572952563595024
2,100,0,1048576,192,0.0527417116412893,0.05355423599240986,1.0089345877126759,0.9408765250346479,1.0607902784817358,0.9883133948476207,1.0173207193803224,99,93,0.052572952563595024
2,100,0,4194304,192,0.05430208073402756,0.05232657672754039,0.994231500362283,0.9412741766240534,1.056506939758182,0.9852301752965504,1.0117355990280983,90,102,0.052572952563595024
2,100,1,1024,192,0.07287319445814938,0.05532935257241225,1.3469190057540348,1.0466415103703954,3.307875589107039,1.1669915341442372,1.8971320543043109,169,23,0.052572952563595024
2,100,1,4096,192,0.06435628131688573,0.0530274726863614,1.0899924777186805,0.995297083006459,1.4650827353313691,1.0491660588267642,1.1470786167588818,139,53,0.052572952563595024
2,100,1,16384,192,0.05657265875455923,0.052517943302053324,1.024940189112828,0.9744036056151258,1.1123974628541031,1.0148975073427622,1.044897897253983,120,72,0.052572952563595024
2,100,1,65536,192,0.05189701579646208,0.052790731713636935,0.9986593911644415,0.9454388991194317,1.0688184850318447,0.9839825084145958,1.0167429275346183,95,97,0.052572952563595024
2,100,1,262144,192,0.05351026794319042,0.053331233769070896,0.9917316597791013,0.9374047248822145,1.0379207300549949,0.9781896968536661,1.0023964622604702,86,106,0.052572952563595024
2,100,1,1048576,192,0.0520882778824307,0.05333331581268179,1.006064215433696,0.9319420639934578,1.060836111365293,0.9893654898669356,1.0164393159085856,102,90,0.052572952563595024
2,100,1,4194304,192,0.053811996380612265,0.05245457412801725,1.0029259202863168,0.9488262913747728,1.0573456461406532,0.9891512009681565,1.0165606206220383,98,94,0.052572952563595024
2,500,0,1024,192,0.054793404873181135,0.028310886845112786,2.019173823233066,1.1478156874058345,5.689514579718316,1.5693354872534513,2.971875653195031,189,3,0.024499937846791005
2,500,0,4096,192,0.033197334706550466,0.025505705041977092,1.177620654285849,1.0311686726756193,2.436948922320637,1.1019988801903478,1.349599680539074,163,29,0.024499937846791005
2,500,0,16384,192,0.028169305507326516,0.024709198657004258,1.0515212094529214,0.9859873101380819,1.1939524521968652,1.0238000316427518,1.0743289799607947,127,65,0.024499937846791005
2,500,0,65536,192,0.025417897443706174,0.024770212482292907,1.0158112862573878,0.964954132114543,1.0733125417888916,0.9992425159696655,1.029720243001692,109,83,0.024499937846791005
2,500,0,262144,192,0.024462128942273557,0.024620185226017277,0.9986903590154862,0.9530188936046715,1.0460822024910654,0.9902210811766182,1.010618326365308,95,97,0.024499937846791005
2,500,0,1048576,192,0.0248608119176235,0.024965923433701662,1.00158880811827,0.9472843121551379,1.0681027131281098,0.9889517750659911,1.0126619850539413,99,93,0.024499937846791005
2,500,0,4194304,192,0.024387482650624584,0.02488842274520349,1.007465444866977,0.9425899007892691,1.0557765665554177,0.9839716247084148,1.0184016887824596,102,90,0.024499937846791005
2,500,1,1024,192,0.05475620205882006,0.028480921665538457,2.0348900388781725,1.1633931093296377,5.498621693464384,1.5230118474322591,2.8904793859578293,188,4,0.024499937846791005
2,500,1,4096,192,0.03323561778115108,0.025347013005371403,1.1788605328431556,1.0287763884772037,2.3750585868986693,1.113312238326492,1.321856053528831,159,33,0.024499937846791005
2,500,1,16384,192,0.028450898920279,0.02467444755073772,1.0462595503341916,0.9802297684726762,1.2092269231174864,1.029174256467167,1.0720431415396805,131,61,0.024499937846791005
2,500,1,65536,192,0.025408648263569936,0.02467061015018724,1.0081733495786818,0.9611925722945764,1.0783312325989802,0.9976403500598432,1.0281732330063544,105,87,0.024499937846791005
2,500,1,262144,192,0.024993960746657107,0.024286060770364083,0.9980818653330684,0.954180507766599,1.0451621094881394,0.9882052824339151,1.0105083701413555,95,97,0.024499937846791005
2,500,1,1048576,192,0.024867821326619022,0.02568531635636015,1.0022255520540417,0.9456956428011704,1.0545894670232432,0.9836355526561029,1.0127311288031002,98,94,0.024499937846791005
2,500,1,4194304,192,0.02401598014812916,0.025030391472917708,0.9935974177185902,0.9278505436663558,1.0448007605722722,0.9840239931323392,1.0109322295753465,93,99,0.024499937846791005
3,100,0,1024,48,0.08588766280583415,0.06819890012275698,1.3506224135682041,1.0457040055436044,2.483264441741171,1.0927600500649715,2.278545912658961,46,2,0.06348176098832242
3,100,0,4096,48,0.0813640429114302,0.06484981267087875,1.0743777213330254,1.011503322902369,1.8406344155286007,1.0268332363690795,1.6276632302323857,40,8,0.06348176098832242
3,100,0,16384,48,0.07662787327185897,0.06270923551967798,1.0636167258275306,1.0063570298802231,1.196758562754218,1.0201246759866227,1.15734419670825,37,11,0.06348176098832242
3,100,0,65536,48,0.0731698498221735,0.061801179867860975,1.0161665026250788,0.9859620406950177,1.05048762385987,1.0043840919522118,1.0280228420128015,32,16,0.06348176098832242
3,100,0,262144,48,0.0626763843589773,0.061485100883663345,0.9980379294275618,0.9691839602441836,1.0418960190987634,0.9803482529305214,1.0078914509534382,23,25,0.06348176098832242
3,100,0,1048576,48,0.06199030146533623,0.0628389636819453,0.9904118300707976,0.9752821072293977,1.0229209966400117,0.983804673596127,1.0094515077210469,21,27,0.06348176098832242
3,100,0,4194304,48,0.0621694599169617,0.06097944202532399,1.0054203869861313,0.98462208801372,1.032500698009534,0.994728260615077,1.0227933205300748,29,19,0.06348176098832242
3,100,1,1024,48,0.08616767067378388,0.0676617614569402,1.3524231867878274,1.0517646263196632,2.5512947265316415,1.0741833922929778,2.2286147738468416,44,4,0.06348176098832242
