obs,k,m,same_pool_median,independent_pool_median,ratio
41,2,100,0.04861080544088035,0.05399411648139357,1.1107430949084007
41,2,500,0.025392142974119642,0.026086503406334664,1.0273454837160745
42,2,100,0.05225518293138595,0.046894109436403965,0.8974058993914272
42,2,500,0.024909346123691656,0.021838970120903124,0.876737992738065
43,2,100,0.06046222671549767,0.06264310749601573,1.0360701366620204
43,2,500,0.027817858779057854,0.027274357026070353,0.9804621284008866
44,2,100,0.06273678739042951,0.0630993436794728,1.0057790062915877
44,2,500,0.031404954589251424,0.02995261411918328,0.953754415853694
45,2,100,0.060181615872960545,0.06296532099004837,1.046255074356329
45,2,500,0.027591095118690283,0.028025515954196435,1.015744965309908
46,2,100,0.05597397224707529,0.05698508432386444,1.018063968594653
46,2,500,0.025529139806423327,0.027231092961225674,1.0666670780021394
47,2,100,0.05974040120020509,0.06408518063761295,1.0727276575001132
47,2,500,0.03156088294479996,0.030498908031452446,0.9663515461463829
48,2,100,0.04402989811040463,0.03821506560202688,0.8679344545881732
48,2,500,0.02059385301982985,0.020335239103250212,0.9874421791623638
49,2,100,0.04523723321463915,0.042315968898125,0.935423453007095
49,2,500,0.018482606658339503,0.019906676141265765,1.0770491689430457
50,2,100,0.04508175293710082,0.05043376697991042,1.1187179666743852
50,2,500,0.020480334597546633,0.02073243107656017,1.0123091972844884
51,2,100,0.024980363625381148,0.022262495652772496,0.8911998234546442
51,2,500,0.010106608903314914,0.010145045011956247,1.0038030667862023
52,2,100,0.04219133324939758,0.041001224230881775,0.971792571439235
52,2,500,0.018260450033284734,0.018141041083261353,0.9934607882168444
53,2,100,0.04343673346545547,0.04633954286025837,1.066828445953733
53,2,500,0.020880403085332358,0.022430520292557796,1.0742378966962727
54,2,100,0.05524058337779716,0.05035673650009559,0.9115895130161762
54,2,500,0.017864149563293907,0.023134359918069097,1.2950160227948424
55,2,100,0.04653130141887815,0.04139472030149774,0.8896101987103147
55,2,500,0.021798930425569414,0.02128832489103079,0.9765765785490237
56,2,100,0.03744020424885676,0.041913956060260535,1.119490582414234
56,2,500,0.021654317030031255,0.017133220191672457,0.7912149881204417
57,2,100,0.05582484546666967,0.0576669541959651,1.0329980085729975
57,2,500,0.02333541663894433,0.02217110624592751,0.9501054379687522
58,2,100,0.04404215759560466,0.04098656407846139,0.9306211665377581
58,2,500,0.019097945032548157,0.02380626022005454,1.2465351732598517
59,2,100,0.035800870972126725,0.03835192924346777,1.0712568773348337
59,2,500,0.019926155070774255,0.019411946940142658,0.9741943125101045
60,2,100,0.041650142787396906,0.043007658416591585,1.0325933007270616
60,2,500,0.01938208758216351,0.0182691019244492,0.9425765850558563
61,2,100,0.03201535897515714,0.03244966379506513,1.0135655146095657
61,2,500,0.016895024337805816,0.01455251571638509,0.8613492011266939
62,2,100,0.044081290555186586,0.04478668847735971,1.0160022066797254
62,2,500,0.021672355036064992,0.020468455264531067,0.9444499792694189
63,2,100,0.0349825737808831,0.040323312775976956,1.1526685551653837
63,2,500,0.01606306266495958,0.014257019261922693,0.8875654387518116
64,2,100,0.036187830000836405,0.04351205843249336,1.2023947949210458
64,2,500,0.019192564199864863,0.01638658127514645,0.8537984348783281
65,2,100,0.043701181310694656,0.03349547522105276,0.7664661278356718
65,2,500,0.02021578574823215,0.018577428211737426,0.9189565245249992
66,2,100,0.047309023701865224,0.04037789061330258,0.8534923668634199
66,2,500,0.02004558976180851,0.022156630686111747,1.105311988790934
67,2,100,0.03925058887032791,0.041874401774164294,1.0668477334825388
67,2,500,0.018782143202703452,0.02116868127947673,1.1270642040696275
68,2,100,0.04192109093870968,0.03985781704895201,0.9507819609758187
68,2,500,0.017754474598541854,0.017879048271756622,1.0070164663292824
69,2,100,0.04298082832079379,0.04167292094724252,0.969569982137396
69,2,500,0.017969152721390123,0.021068124231323607,1.1724606361792747
70,2,100,0.0546653401487507,0.056033016180712714,1.0250190711013671
70,2,500,0.025263477283250554,0.023517494383361186,0.9308890506119307
71,2,100,0.04308303051181138,0.044309762561973186,1.0284736713176548
