obs,k,m,method,n,reached,repeat,ms
10,2,100,physical_rqmc,1024,True,3,0.733875
10,2,100,physical_rqmc,1024,True,4,0.740333
10,2,100,quotient_self_normalized,1024,True,0,0.976792
10,2,100,quotient_self_normalized,1024,True,1,0.785917
10,2,100,quotient_self_normalized,1024,True,2,0.767125
10,2,100,quotient_self_normalized,1024,True,3,0.750583
10,2,100,quotient_self_normalized,1024,True,4,0.768917
11,2,100,quotient_self_normalized,1024,True,0,0.945416
11,2,100,quotient_self_normalized,1024,True,1,0.935959
11,2,100,quotient_self_normalized,1024,True,2,0.939917
11,2,100,quotient_self_normalized,1024,True,3,0.770792
11,2,100,quotient_self_normalized,1024,True,4,0.8655
11,2,100,physical_rqmc,1024,True,0,0.840667
11,2,100,physical_rqmc,1024,True,1,0.842459
11,2,100,physical_rqmc,1024,True,2,0.732208
11,2,100,physical_rqmc,1024,True,3,0.71825
11,2,100,physical_rqmc,1024,True,4,0.749792
12,2,100,physical_rqmc,1024,True,0,0.876666
12,2,100,physical_rqmc,1024,True,1,0.886209
12,2,100,physical_rqmc,1024,True,2,0.872709
12,2,100,physical_rqmc,1024,True,3,0.888125
12,2,100,physical_rqmc,1024,True,4,0.720416
12,2,100,quotient_self_normalized,1024,True,0,0.768166
12,2,100,quotient_self_normalized,1024,True,1,0.769542
12,2,100,quotient_self_normalized,1024,True,2,0.756291
12,2,100,quotient_self_normalized,1024,True,3,0.741834
12,2,100,quotient_self_normalized,1024,True,4,0.728375
13,2,100,physical_rqmc,1024,True,0,0.934167
13,2,100,physical_rqmc,1024,True,1,0.8155
13,2,100,physical_rqmc,1024,True,2,0.813625
13,2,100,physical_rqmc,1024,True,3,0.983667
13,2,100,physical_rqmc,1024,True,4,0.946125
13,2,100,quotient_self_normalized,1024,True,0,0.798958
13,2,100,quotient_self_normalized,1024,True,1,0.775209
13,2,100,quotient_self_normalized,1024,True,2,0.813
13,2,100,quotient_self_normalized,1024,True,3,0.797541
13,2,100,quotient_self_normalized,1024,True,4,0.730208
14,2,100,quotient_self_normalized,1024,True,0,0.879042
14,2,100,quotient_self_normalized,1024,True,1,0.903417
14,2,100,quotient_self_normalized,1024,True,2,0.723834
14,2,100,quotient_self_normalized,1024,True,3,0.750833
14,2,100,quotient_self_normalized,1024,True,4,0.79325
14,2,100,physical_rqmc,1024,True,0,0.710334
14,2,100,physical_rqmc,1024,True,1,0.701833
14,2,100,physical_rqmc,1024,True,2,0.689125
14,2,100,physical_rqmc,1024,True,3,0.813458
14,2,100,physical_rqmc,1024,True,4,0.747583
15,2,100,quotient_self_normalized,1024,True,0,0.827875
15,2,100,quotient_self_normalized,1024,True,1,1.101625
15,2,100,quotient_self_normalized,1024,True,2,1.073584
15,2,100,quotient_self_normalized,1024,True,3,0.756833
15,2,100,quotient_self_normalized,1024,True,4,0.754625
15,2,100,physical_rqmc,1024,True,0,0.789708
15,2,100,physical_rqmc,1024,True,1,0.915208
15,2,100,physical_rqmc,1024,True,2,0.751792
15,2,100,physical_rqmc,1024,True,3,0.764625
15,2,100,physical_rqmc,1024,True,4,0.757833
16,2,100,physical_rqmc,1024,True,0,0.7365
16,2,100,physical_rqmc,1024,True,1,0.739875
16,2,100,physical_rqmc,1024,True,2,0.795833
16,2,100,physical_rqmc,1024,True,3,0.812333
16,2,100,physical_rqmc,1024,True,4,0.879166
16,2,100,quotient_self_normalized,1024,True,0,0.866583
16,2,100,quotient_self_normalized,1024,True,1,0.819125
16,2,100,quotient_self_normalized,1024,True,2,0.76775
16,2,100,quotient_self_normalized,1024,True,3,1.061417
16,2,100,quotient_self_normalized,1024,True,4,0.847667
17,2,100,physical_rqmc,1024,True,0,0.900458
17,2,100,physical_rqmc,1024,True,1,0.904334
17,2,100,physical_rqmc,1024,True,2,0.79025
17,2,100,physical_rqmc,1024,True,3,0.905
17,2,100,physical_rqmc,1024,True,4,0.763625
17,2,100,quotient_self_normalized,1024,True,0,0.731167
17,2,100,quotient_self_normalized,1024,True,1,0.741458
17,2,100,quotient_self_normalized,1024,True,2,0.844209
17,2,100,quotient_self_normalized,1024,True,3,0.782083
17,2,100,quotient_self_normalized,1024,True,4,0.754959
18,2,100,physical_rqmc,1024,True,0,1.035709
18,2,100,physical_rqmc,1024,True,1,0.85575
18,2,100,physical_rqmc,1024,True,2,0.724708
18,2,100,physical_rqmc,1024,True,3,0.703375
18,2,100,physical_rqmc,1024,True,4,0.809542
18,2,100,quotient_self_normalized,1024,True,0,0.799958
18,2,100,quotient_self_normalized,1024,True,1,0.782666
18,2,100,quotient_self_normalized,1024,True,2,0.972167
18,2,100,quotient_self_normalized,1024,True,3,1.019458
18,2,100,quotient_self_normalized,1024,True,4,0.8095
19,2,100,quotient_self_normalized,1024,True,0,0.983417
19,2,100,quotient_self_normalized,1024,True,1,0.845584
19,2,100,quotient_self_normalized,1024,True,2,0.792917
19,2,100,quotient_self_normalized,1024,True,3,0.791375
19,2,100,quotient_self_normalized,1024,True,4,0.819375
19,2,100,physical_rqmc,1024,True,0,0.844375
19,2,100,physical_rqmc,1024,True,1,0.726209
19,2,100,physical_rqmc,1024,True,2,0.716917
19,2,100,physical_rqmc,1024,True,3,0.715958
19,2,100,physical_rqmc,1024,True,4,0.717
20,2,100,quotient_self_normalized,1024,True,0,0.78625
20,2,100,quotient_self_normalized,1024,True,1,0.81975
20,2,100,quotient_self_normalized,1024,True,2,0.865333
20,2,100,quotient_self_normalized,1024,True,3,0.854958
20,2,100,quotient_self_normalized,1024,True,4,0.792667
20,2,100,physical_rqmc,1024,True,0,0.799875
20,2,100,physical_rqmc,1024,True,1,0.9395
20,2,100,physical_rqmc,1024,True,2,0.999917
20,2,100,physical_rqmc,1024,True,3,1.1375
20,2,100,physical_rqmc,1024,True,4,0.856042
21,2,100,quotient_self_normalized,1024,True,0,1.031833
21,2,100,quotient_self_normalized,1024,True,1,0.829459
21,2,100,quotient_self_normalized,1024,True,2,0.785792
21,2,100,quotient_self_normalized,1024,True,3,0.751167
21,2,100,quotient_self_normalized,1024,True,4,0.756375
21,2,100,physical_rqmc,1024,True,0,0.748417
21,2,100,physical_rqmc,1024,True,1,0.791458
21,2,100,physical_rqmc,1024,True,2,0.709917
21,2,100,physical_rqmc,1024,True,3,0.743
21,2,100,physical_rqmc,1024,True,4,0.73675
22,2,100,physical_rqmc,1024,True,0,0.734042
22,2,100,physical_rqmc,1024,True,1,0.759583
22,2,100,physical_rqmc,1024,True,2,0.75
22,2,100,physical_rqmc,1024,True,3,0.746917
22,2,100,physical_rqmc,1024,True,4,0.758958
22,2,100,quotient_self_normalized,1024,True,0,0.796167
22,2,100,quotient_self_normalized,1024,True,1,0.819917
22,2,100,quotient_self_normalized,1024,True,2,0.793083
22,2,100,quotient_self_normalized,1024,True,3,0.78225
22,2,100,quotient_self_normalized,1024,True,4,0.76675
23,2,100,physical_rqmc,1024,True,0,0.71675
23,2,100,physical_rqmc,1024,True,1,0.736042
23,2,100,physical_rqmc,1024,True,2,0.723875
23,2,100,physical_rqmc,1024,True,3,0.72975
23,2,100,physical_rqmc,1024,True,4,0.755
23,2,100,quotient_self_normalized,1024,True,0,0.969041
23,2,100,quotient_self_normalized,1024,True,1,0.91325
23,2,100,quotient_self_normalized,1024,True,2,0.760208
23,2,100,quotient_self_normalized,1024,True,3,0.744042
23,2,100,quotient_self_normalized,1024,True,4,0.738667
24,2,100,physical_rqmc,1024,True,0,0.811041
24,2,100,physical_rqmc,1024,True,1,0.789291
24,2,100,physical_rqmc,1024,True,2,0.903291
24,2,100,physical_rqmc,1024,True,3,0.862333
24,2,100,physical_rqmc,1024,True,4,0.7445
24,2,100,quotient_self_normalized,1024,True,0,0.791458
24,2,100,quotient_self_normalized,1024,True,1,0.8055
24,2,100,quotient_self_normalized,1024,True,2,0.798
24,2,100,quotient_self_normalized,1024,True,3,0.773084
24,2,100,quotient_self_normalized,1024,True,4,0.788125
25,2,100,physical_rqmc,1024,True,0,0.73425
25,2,100,physical_rqmc,1024,True,1,0.722291
25,2,100,physical_rqmc,1024,True,2,0.735875
25,2,100,physical_rqmc,1024,True,3,0.717917
25,2,100,physical_rqmc,1024,True,4,0.758458
25,2,100,quotient_self_normalized,1024,True,0,0.790416
25,2,100,quotient_self_normalized,1024,True,1,0.785125
25,2,100,quotient_self_normalized,1024,True,2,0.802291
25,2,100,quotient_self_normalized,1024,True,3,0.781167
25,2,100,quotient_self_normalized,1024,True,4,0.805125
26,2,100,quotient_self_normalized,1024,True,0,0.778584
26,2,100,quotient_self_normalized,1024,True,1,0.76375
26,2,100,quotient_self_normalized,1024,True,2,0.763042
26,2,100,quotient_self_normalized,1024,True,3,0.774375
26,2,100,quotient_self_normalized,1024,True,4,0.776709
26,2,100,physical_rqmc,1024,True,0,0.763416
26,2,100,physical_rqmc,1024,True,1,0.7425
26,2,100,physical_rqmc,1024,True,2,0.728
26,2,100,physical_rqmc,1024,True,3,0.749792
26,2,100,physical_rqmc,1024,True,4,0.749458
27,2,100,quotient_self_normalized,1024,True,0,0.922209
27,2,100,quotient_self_normalized,1024,True,1,0.850125
27,2,100,quotient_self_normalized,1024,True,2,0.804917
27,2,100,quotient_self_normalized,1024,True,3,0.853708
27,2,100,quotient_self_normalized,1024,True,4,0.846417
27,2,100,physical_rqmc,1024,True,0,0.821875
27,2,100,physical_rqmc,1024,True,1,0.785791
27,2,100,physical_rqmc,1024,True,2,0.789083
27,2,100,physical_rqmc,1024,True,3,0.818666
27,2,100,physical_rqmc,1024,True,4,0.787042
28,2,100,quotient_self_normalized,1024,True,0,0.835042
28,2,100,quotient_self_normalized,1024,True,1,0.864625
28,2,100,quotient_self_normalized,1024,True,2,0.822292
28,2,100,quotient_self_normalized,1024,True,3,0.8115
28,2,100,quotient_self_normalized,1024,True,4,0.8515
28,2,100,physical_rqmc,1024,True,0,0.792209
28,2,100,physical_rqmc,1024,True,1,0.787167
28,2,100,physical_rqmc,1024,True,2,0.775334
28,2,100,physical_rqmc,1024,True,3,0.775708
28,2,100,physical_rqmc,1024,True,4,0.816167
29,2,100,quotient_self_normalized,1024,True,0,0.737708
29,2,100,quotient_self_normalized,1024,True,1,0.723417
29,2,100,quotient_self_normalized,1024,True,2,0.742709
29,2,100,quotient_self_normalized,1024,True,3,0.751
29,2,100,quotient_self_normalized,1024,True,4,0.762334
29,2,100,physical_rqmc,1024,True,0,0.695625
29,2,100,physical_rqmc,1024,True,1,0.688833
29,2,100,physical_rqmc,1024,True,2,0.706791
29,2,100,physical_rqmc,1024,True,3,0.709292
29,2,100,physical_rqmc,1024,True,4,0.710291
30,2,100,physical_rqmc,1024,True,0,0.769709
30,2,100,physical_rqmc,1024,True,1,0.760334
30,2,100,physical_rqmc,1024,True,2,0.688208
30,2,100,physical_rqmc,1024,True,3,0.701083
30,2,100,physical_rqmc,1024,True,4,0.718125
30,2,100,quotient_self_normalized,1024,True,0,0.763458
30,2,100,quotient_self_normalized,1024,True,1,0.740417
30,2,100,quotient_self_normalized,1024,True,2,0.737042
30,2,100,quotient_self_normalized,1024,True,3,0.782083
30,2,100,quotient_self_normalized,1024,True,4,0.808875
31,2,100,physical_rqmc,1024,True,0,0.745875
31,2,100,physical_rqmc,1024,True,1,0.736125
31,2,100,physical_rqmc,1024,True,2,0.7025
31,2,100,physical_rqmc,1024,True,3,0.694292
31,2,100,physical_rqmc,1024,True,4,0.751
31,2,100,quotient_self_normalized,1024,True,0,0.756708
31,2,100,quotient_self_normalized,1024,True,1,0.766083
31,2,100,quotient_self_normalized,1024,True,2,0.731917
31,2,100,quotient_self_normalized,1024,True,3,0.721125
31,2,100,quotient_self_normalized,1024,True,4,0.763125
32,2,100,quotient_self_normalized,1024,True,0,0.768292
32,2,100,quotient_self_normalized,1024,True,1,0.745
32,2,100,quotient_self_normalized,1024,True,2,0.7445
32,2,100,quotient_self_normalized,1024,True,3,0.9795
32,2,100,quotient_self_normalized,1024,True,4,0.8965
32,2,100,physical_rqmc,1024,True,0,0.700167
32,2,100,physical_rqmc,1024,True,1,0.690459
32,2,100,physical_rqmc,1024,True,2,0.676292
32,2,100,physical_rqmc,1024,True,3,0.687542
32,2,100,physical_rqmc,1024,True,4,0.724333
33,2,100,physical_rqmc,1024,True,0,0.775083
33,2,100,physical_rqmc,1024,True,1,0.697916
33,2,100,physical_rqmc,1024,True,2,0.718125
33,2,100,physical_rqmc,1024,True,3,0.773375
33,2,100,physical_rqmc,1024,True,4,0.730792
33,2,100,quotient_self_normalized,1024,True,0,0.732583
33,2,100,quotient_self_normalized,1024,True,1,0.771458
33,2,100,quotient_self_normalized,1024,True,2,0.752417
33,2,100,quotient_self_normalized,1024,True,3,0.773958
33,2,100,quotient_self_normalized,1024,True,4,0.74
34,2,100,physical_rqmc,1024,True,0,0.726792
34,2,100,physical_rqmc,1024,True,1,0.703542
34,2,100,physical_rqmc,1024,True,2,0.684625
34,2,100,physical_rqmc,1024,True,3,0.680625
34,2,100,physical_rqmc,1024,True,4,0.71275
34,2,100,quotient_self_normalized,1024,True,0,0.765
34,2,100,quotient_self_normalized,1024,True,1,0.746917
34,2,100,quotient_self_normalized,1024,True,2,0.747875
34,2,100,quotient_self_normalized,1024,True,3,0.746792
34,2,100,quotient_self_normalized,1024,True,4,0.718458
35,2,100,physical_rqmc,1024,True,0,0.746875
35,2,100,physical_rqmc,1024,True,1,0.70875
35,2,100,physical_rqmc,1024,True,2,0.679458
35,2,100,physical_rqmc,1024,True,3,0.674333
35,2,100,physical_rqmc,1024,True,4,0.714542
35,2,100,quotient_self_normalized,1024,True,0,0.751125
35,2,100,quotient_self_normalized,1024,True,1,0.747458
35,2,100,quotient_self_normalized,1024,True,2,0.751042
35,2,100,quotient_self_normalized,1024,True,3,0.773291
35,2,100,quotient_self_normalized,1024,True,4,0.717417
36,2,100,quotient_self_normalized,1024,True,0,0.753334
36,2,100,quotient_self_normalized,1024,True,1,0.74375
36,2,100,quotient_self_normalized,1024,True,2,0.763208
36,2,100,quotient_self_normalized,1024,True,3,0.713375
36,2,100,quotient_self_normalized,1024,True,4,0.705708
36,2,100,physical_rqmc,1024,True,0,0.717584
36,2,100,physical_rqmc,1024,True,1,0.744833
36,2,100,physical_rqmc,1024,True,2,0.710709
36,2,100,physical_rqmc,1024,True,3,0.726625
36,2,100,physical_rqmc,1024,True,4,0.659833
37,2,100,quotient_self_normalized,1024,True,0,0.776667
37,2,100,quotient_self_normalized,1024,True,1,0.797417
37,2,100,quotient_self_normalized,1024,True,2,0.937208
37,2,100,quotient_self_normalized,1024,True,3,0.844041
37,2,100,quotient_self_normalized,1024,True,4,0.755083
37,2,100,physical_rqmc,1024,True,0,0.704709
37,2,100,physical_rqmc,1024,True,1,0.69825
37,2,100,physical_rqmc,1024,True,2,0.68525
37,2,100,physical_rqmc,1024,True,3,0.704167
37,2,100,physical_rqmc,1024,True,4,0.740625
38,2,100,quotient_self_normalized,1024,True,0,0.737167
38,2,100,quotient_self_normalized,1024,True,1,0.727833
38,2,100,quotient_self_normalized,1024,True,2,0.754709
38,2,100,quotient_self_normalized,1024,True,3,0.756459
38,2,100,quotient_self_normalized,1024,True,4,0.754667
38,2,100,physical_rqmc,1024,True,0,0.691875
38,2,100,physical_rqmc,1024,True,1,0.688125
38,2,100,physical_rqmc,1024,True,2,0.686541
38,2,100,physical_rqmc,1024,True,3,0.708416
38,2,100,physical_rqmc,1024,True,4,0.712167
39,2,100,quotient_self_normalized,1024,True,0,0.741625
39,2,100,quotient_self_normalized,1024,True,1,0.730209
39,2,100,quotient_self_normalized,1024,True,2,0.759875
39,2,100,quotient_self_normalized,1024,True,3,0.746958
39,2,100,quotient_self_normalized,1024,True,4,0.749167
39,2,100,physical_rqmc,1024,True,0,0.72325
39,2,100,physical_rqmc,1024,True,1,0.668208
39,2,100,physical_rqmc,1024,True,2,0.68225
39,2,100,physical_rqmc,1024,True,3,0.721375
39,2,100,physical_rqmc,1024,True,4,0.7285
40,2,100,quotient_self_normalized,1024,True,0,0.756666
40,2,100,quotient_self_normalized,1024,True,1,0.778791
40,2,100,quotient_self_normalized,1024,True,2,0.758209
40,2,100,quotient_self_normalized,1024,True,3,0.777333
40,2,100,quotient_self_normalized,1024,True,4,0.747167
40,2,100,physical_rqmc,1024,True,0,0.719125
40,2,100,physical_rqmc,1024,True,1,0.716958
40,2,100,physical_rqmc,1024,True,2,0.728042
40,2,100,physical_rqmc,1024,True,3,0.71675
40,2,100,physical_rqmc,1024,True,4,0.714625
41,2,100,physical_rqmc,1024,True,0,0.766875
41,2,100,physical_rqmc,1024,True,1,0.736916
41,2,100,physical_rqmc,1024,True,2,0.699625
41,2,100,physical_rqmc,1024,True,3,0.721791
41,2,100,physical_rqmc,1024,True,4,0.714584
41,2,100,quotient_self_normalized,1024,True,0,0.947
41,2,100,quotient_self_normalized,1024,True,1,0.827083
41,2,100,quotient_self_normalized,1024,True,2,0.780958
41,2,100,quotient_self_normalized,1024,True,3,0.764166
41,2,100,quotient_self_normalized,1024,True,4,0.774125
42,2,100,physical_rqmc,1024,True,0,0.735166
42,2,100,physical_rqmc,1024,True,1,0.699
42,2,100,physical_rqmc,1024,True,2,0.67575
42,2,100,physical_rqmc,1024,True,3,0.680166
42,2,100,physical_rqmc,1024,True,4,0.669958
42,2,100,quotient_self_normalized,1024,True,0,0.70875
42,2,100,quotient_self_normalized,1024,True,1,0.706375
42,2,100,quotient_self_normalized,1024,True,2,0.726291
42,2,100,quotient_self_normalized,1024,True,3,0.738375
42,2,100,quotient_self_normalized,1024,True,4,0.743166
43,2,100,physical_rqmc,1024,True,0,0.707667
